NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
1,The Most Likely Result Of A Too Short Dwell Time Of An Emulsifier Is:,A tendency to remove the penetrant from fine discontinuities,Incomplete removal of excess surface penetrant,An overactive emulsifier,All of the above,B,Specific Penetrant Testing
2,Diffusion Of A Lipophilic Emulsifier Penetrant Into The Test Piece Surface Is Stopped By:,The conclusion of the emulsifier dwell time,The penetrant,Application of developer,The water rinse step,D,Specific Penetrant Testing
3,"When Using A Post Emulsifiable Penetrant Process, It Is Important To Drain As Much Excess Penetrant As Possible From The Surface Of A Test Piece Which Has Been Immersed In The Penetrant Because:",Too much penetrant on the part surface may lead to more rapid penetration and over-sensitivity,"A thinner layer of penetrant is likely to have higher capillary action and, thus, be more sensitive to fine discontinuities",A thinner layer of penetrant will result in less penetrant contamination in the emulsifier tank,None of the above,D,Specific Penetrant Testing
4,"When A Drain-Dwell Technique Is Used During Emulsification, What Two Mechanisms Are Responsible For Combining The Emulsifier And Penetrant?",Diffusion and turbulent mixing,Osmosis and agitation,Turbulent mixing and osmosis,Agitation and turbulent mixing,A,Specific Penetrant Testing
5,"When Performing A Post Emulsifiable Penetrant Test, The Test Piece Does Not Rinse Acceptable Clean During Normal Processing. What Should Be Done?",Return the test piece to the emulsifier and repeat the step,Increase water temperature and pressure,Remove the excess penetrant with solvent remover and process the remainder of the test normally,Clean the test piece and re-process through the complete penetrant test process,D,Specific Penetrant Testing
6,"The Adequacy Of Excess Penetrant Removal, Using Water Washable Penetrant Process, Is Judged And Controlled By:",Water rinse time,Fluorescent brightness measurement,Visual observation,Cleanliness of cloths used for removal,C,Specific Penetrant Testing
7,Another Name For A Self-Emulsifying Penetrant Process Is:,Solvent removable,Water washable,Post emulsifiable,Solvent emulsifiable,B,Specific Penetrant Testing
8,Which Of The Following Is A Function Of An Emulsifier?,To draw penetrant out of a discontinuity and form a visible indication,To increase the size of an indication through capillary action,To provide contrasting background for viewing penetrant indications,None of the above,D,Specific Penetrant Testing
9,"When Viewed Under Black Light, Developer Appears:",Yellow-green,Blue-black,White,Pinkish white,B,Specific Penetrant Testing
10,Penetrant Developers Are Used In Which Of The Following Forms?,Water washable,Water suspendable,Solvent suspendable,All of the above,D,Specific Penetrant Testing
11,A Common Application Of An Aluminium Block Containing Quench Cracks Is To:,Determine penetrant test sensitivity,Compare performance of penetrant materials or processes,Determine effects of mechanical cleaning methods on penetrant test results,Determine effectiveness of cleaning techniques,A,General Penetrant Testing
12,Which Of The Following Is Not (!) An Advantage Of A Water Washable Fluorescent Penetrant Process?,Excess penetrant is easily removed with a water wash,It is well suited to testing large quantities of small parts,It is readily removed from shallow discontinuities,"It has low cost, low processing time compared to the post emulsified penetrant process",C,General Penetrant Testing
13,"When Using A Water Washable Penetrant Testing Process, Why Should The Water Rinse Temperature Remain Constant?",To avoid changes in rinse efficiency,To maintain the temperature of the part,To avoid over washing,To avoid under washing,C,General Penetrant Testing
14,What Is The Proper Technique For Removal Of Excess Penetrant From A Part When Using A Water Washable Penetrant Process?,Fine spray normal to the surface,Coarse spray normal to the surface,Fine spray at 45 degrees to the surface,Coarse spray at 45 degrees to the surface,D,General Penetrant Testing
15,Which Type Of Developer Would You Use To Obtain The Highest Sensitivity Test Results?,Dry,Non-aqueous wet,Aqueous wet,Lipophilic,B,General Penetrant Testing
16,What Type Of Penetrant Process Would Be Best Suited To An Application At Near Freezing Temperatures?,Solvent removable,Water washable,Post emulsifiable,None of the above,D,General Penetrant Testing
17,Which Type Of Developer Does Not (!) Provide A Contrasting Background Against Which To View Penetrant Indications?,Dry,Non-aqueous wet,Water soluble,Water suspendable,A,General Penetrant Testing
18,Which Type Of Developer Should Not Be Used With A Visible Dye Penetrant Process?,Dry,Non-aqueous wet,Water soluble,Water suspendable,A,General Penetrant Testing
19,Why Might Steel Parts Have A Greater Tendency Towards Rusting After Penetrant Testing?,Penetrant materials are normally corrosive,Penetrant materials residues are hydroscopic,Any protective oils are removed during penetrant testing,This is true only if the developer and penetrant residues are not removed after testing,C,General Penetrant Testing
20,The Most Significant Advantage Of The Visible Solvent Removable Penetrant Process Is?,Its suitability for penetrant testing of article with rough surfaces,Portability,Its non-corrosive properties,Ability to allow retest,B,General Penetrant Testing
21,Which Of The Following Is Not A Property Of Magnetic Lines Of Force?,They form closed loops which do not cross,The density increases with distance from the poles of a permanent magnet,Hey are considered to have direction,They seek paths of least magnetic resistance or least reluctance,B,General Magnetic Testing
22,"Surrounding An Electromagnet, The Magnetic Field Is Strongest:",Immediately after the current ceases to flow,While the magnetizing current ceases to flow,At the time the magnetic particles are applied to the part,Just prior to current reversal,D,General Magnetic Testing
23,The Value Of Permeability Is:,A fixed value depending upon the type of material,Between 1 and 100 for all ferromagnetic materials,Between 0 and 10 for all ferromagnetic materials,Dependent upon the amount of magnetizing force necessary to overcome saturation,A,General Magnetic Testing
24,The Flux Density Of The Magnetism Induced By A Coil Is Affected By:,The coil size,The current in the coil,The number of turns in the coil,All of the above,D,General Magnetic Testing
25,"How Many Turns Of A Coil Will Be Needed To Establish A Longitudinal Field In A Steel Shaft That Is 22.86 Cm (9 Inches) Long And 7.62 Cm (3 Inches) In Diameter? 3000 Amperes Magnetizing Current Is Available, It Is Desired To Magnetize The Part In Accordance With The Formula NI = 45,000/(L/D):",1,3,5,7,C,General Magnetic Testing
26,How Many Ampere-Turns Are Required To Magnetize A Part That Is 40.6 Cm (16 Inches) Long And 5 Cm (2 Inches) In Diameter?,9000 ampere-turns,5625 ampere-turns,2812 ampere-turns,None of the above,B,General Magnetic Testing
27,The Lines Of Flux Or Force In A Circularly Magnetized Ferromagnetic Bar:,Are aligned through the piece from the south to the north pole,Are aligned through the piece from the north to the south pole,Leave the south pole and enter the north pole,Are contained within and around the part,D,General Magnetic Testing
28,"In Which Magnetizing Method Is The Current Passed Directly Through The Part, Thereby Setting Up A Magnetic Field At Right Angles To The Current Flow?",Longitudinal magnetization,Coil magnetization,Central conductor magnetization,None of the above,D,General Magnetic Testing
29,"Which Of The Following Is False Concerning A Magnetic Field In And Around A Hollow Conductor As Compared To That Of A Solid Conductor Of The Same Outside Diameter When Both Are Of The Same Magnetic Material, And When The Applied Current Is The Same?",The field immediately outside the outer surface of the hollow conductor is greater,The field gradient inside the hollow conductor is steeper,The fields outside the conductors are the same,The fields are the same at the centre,C,General Magnetic Testing
30,The Field In A Section Of Ferromagnetic Pipe Being Magnetized By Means Of A Central Conductor Is Strongest At The:,Ends of the pipe,Outer surface of the pipe,Inner surface of the pipe,The field is uniform at all places,C,General Magnetic Testing
31,"Demagnetization, ASTM E709-95 Recommends A Coil Of Ampere-Turns:",1000 to 3000,3000 to 5000,5000 to 10000,10000 to 15000,C,Specific Magentic Testing
32,According To ASTM E709-95 When Dry Particles Are Used Magnetic Particle Testing Shall Not Be Performed On The Surface Of Parts Whose Temperature Exceeds:,57ºC,79ºC,158ºC,136ºC,A,Specific Magentic Testing
33,"According To ASTM E709-95 In Using Prod Technique, Prod Spacing Shall Not Exceed:",50 mm,100 mm,150 mm,200 mm,D,Specific Magentic Testing
34,"According To ASTM E709-95, The UV Intensity Shall Not Be Less Than:",600 ?W/cm2,700 ?W/cm2,800 ?W/cm2,900 ?W/cm2,C,Specific Magentic Testing
35,"According To ASTM E709-95 In Using Prod Technique On A 50 Mm Thickness Plate With A Prod Spacing Of 101 Mm (4 Inches), Current Shall Be Selected In The Following Range:",300-450 A,400-500 A,500-625 A,550-700 A,A,Specific Magentic Testing
36,According To ASMT E709-95 Alternating Current Electromagnetic Yokes Should Give A Lifting Force Of At Least:,1.5 kg,2.5 kg,3.5 kg,4.5 kg,D,Specific Magentic Testing
37,According To ASTM E709-95 Direct Current Electromagnetic Yokes Should Have A Lifting Force Of At Least:,15 kg,16 kg,17 kg,18 kg,D,Specific Magentic Testing
38,According To ASTM E709-95 The UV Light Shall Be Centred On (1 Å = 10-10m):,3000 Å,3250 Å,3400 Å,3650 Å,D,Specific Magentic Testing
39,"According To ASTM E709-95 When Fluorescent Particles Are Used, The UV Light Intensity Shall Be Above:",700 ?W/cm2,800 ?W/cm2,900 ?W/cm2,1000 ?W/cm2,D,Specific Magentic Testing
40,"According To ASTM E709-95 When Fluorescent Particles Are Used, The Bulb Shall Be Warmed Up Prior To Use For At Least:",1 min,2 min,3 min,4 min,D,Specific Magentic Testing
41,How Many Inspections Methods Are In The DS-01 5th Edition?,30,32,35,36,D,Cummulative
42,Magnetic Particles Testing Is Most Likely To Find Subsurface Discontinuities In:,Soft steels with high permeability,Soft steels with low permeability,Hardened steels with low permeability,Hardened steels with high permeability,A,MPT (General)
43,Which Of The Following Produces A Circular Field?,Coil,Head Shot,Yoke,All of the above,B,MPT (General)
44,A Magnetic Particle Testing Technique In Which The Test Piece Is Magnetised And Magnetic Particles Applied After The Magnetising Force Has Been Removed Is Called The: ,Magnetic Method,Continuous Method,Residual Method,Discontinuous Method,C,MPT (General)
45,Dyes Which Receive Light At One Wavelength And Re-Emit Light Of Another Wavelength Are Called:  ,L.E.Ds,Phosphorescent,Luminescent,Flourescent,D,MPT (General)
46,If The Material Is Not Magnetized The Domains Are Oriented:,"In an arranged pattern, parallel to the surface. ","In an arranged pattern, perpendicular to the surface.","Randomly, usually parallel to the crystalline axes of the material.","Randomly, usually perpendicular to the crystalline axes of the material.",C,MPT (General)
47,A Magnet Has Property To Attract The Magnetic Materials. The Ability To Attract Is:,Uniform all over the surface of magnet.,Higher at the north pole of the magnet.,Higher at the south pole of the magnet.,"Concentrated at the localized areas, called poles.",D,MPT (General)
48,If A Magnet Is Broken In Small Pieces,Each piece of them will have North Pole only.,Each piece of them will have South Pole only.,Each piece of them will have north and South Pole.,It will loose its magnetism.,C,MPT (General)
49,The Most Effective NDT Method For Locating Surface Cracks In Ferromagnetic Materials Is:,Ultrasonic testing,Radiographic testing,Magnetic particle testing,Liquid penetrant testing,C,MPT (General)
50,The Materials Strongly Attracted By A Magnet Are Called:,Diamagnetic materials.,Paramagnetic materials.,Ferromagnetic materials.,Austenitic materials.,C,MPT (General)
51,The Materials Weekly Attracted By A Magnet Are Called:,Diamagnetic materials.,Paramagnetic materials.,Ferromagnetic materials.,Austenitic materials.,B,MPT (General)
52,The Materials Weakly Attracted By A Magnet Are Called:,Diamagnetic materials.,Paramagnetic materials.,Ferromagnetic materials.,Austenitic materials.,B,MPT (General)
53,The Materials Repelled By A Magnet Are Called:,Diamagnetic materials.,Paramagnetic materials.,Ferromagnetic materials.,Austenitic materials.,A,MPT (General)
54,Ferromagnetic Materials Can Be Induced Magnetization:,Due to the earth field.,Cold working of some ferromagnetic materials in forming operation.,With a permanent Magnet.,All of the above.,D,MPT (General)
55,Cracks Which Are Caused By Alternating Stresses Above A Critical Level Are Called:,Stress corrosion cracks,Cycling cracks,Critical cracks,Fatigue cracks,D,MPT (General)
56,"Some Of The Magnetic Metals Have Property To Retain A Magnetic Field In Them, After Removal Of Magnetizing Current, This Property Of That Metal Is Called:",Saturation ,Bipolar Magnetism,Diamagnetism,Retentivity,D,MPT (General)
57,"When The Magnetizing Force Continues To Increase, At Which Point Material Will Not Accept Increase In Magnetism?",Residual point,Saturation point ,Remnant Point ,Salient pole,B,MPT (General)
58,In A Bar Magnet The Magnetic Flux Density Will Be More:,In the middle of the magnet,At the ends of the magnet,At the south pole of the magnet,At the north pole of the magnet,B,MPT (General)
59,"Magnetization Of A Component Through Central Conductor, Induced Magnetism In The Component Will Be?",Longitudinal magnetism,Circular magnetism,Parallel magnetism,None of the above,B,MPT (General)
60,The Reverse Magnetising Force Necessary To Remove A Residual Magnetic Field From A Test Piece After It Has Been Magnetically Saturated Is Called: ,Hysteresis,Coercive force,Demagnetising flux,Reverse saturation,B,MPT (General)
61,The Ability Of A Material To Remain Magnetic After The Magnetising Force Is Removed Is Called:  ,Reluctance,Retentivity,Permeability,Electromagnetism,B,MPT (General)
62,Excessively High Amperage Is Desirable To Detect The Minute Flaws:,TRUE,FALSE,,,B,MPT (General)
63,"For Longitudinal Magnetization Of A Part In Coil, How Effective Amperage Determined?",Amperage applied multiplied by number of turns in coil.,No of turns in coil multiplied by width of part.,Amperage indicated by an ammeter.,D = E / R,A,MPT (General)
64,"In Which Of The Following Methods, The Finally Divided Ferromagnetic Particles In Oil Are Used As Inspection Medium?",Oil and contrast paint technique.,Oil suspension technique.,Wet method.,Dip method.,C,MPT (General)
65,In One Of The Following Magnetization Methods The Current Flows In Two Directions?,Full wave rectified single phase AC. ,Half wave rectified AC or DC.,Direct current,Alternative Current.,D,MPT (General)
66,The Important Difference Between AC And DC Current For Magnetic Particle Testing Purposes Is: ,The skin effect caused by DC adds mobility to the magnetic particles,The resulting AC magnetic fields are more difficult to demagnetize,The DC magnetic fields are more penetrating,The AC magnetic fields are stronger,C,MPT (General)
67,Permeability Is Highest In:,Gold,Silver,Tungsten ,Iron,A,MPT (General)
68,Magnetic Particles Inspection Is A Reliable Method For Detection Of:,Laminations in plate ,Internal forging bursts ,Lack of internal side wall fusion,Forging laps.,D,MPT (General)
69,Fluorescent Magnetic Particles Testing Is Same As Visible Magnetic Particles Testing Except For:,Higher Current,Lower Current,Magnetizing Equipment ,Use of Ultraviolet Light,D,MPT (General)
70,"When Magnetic Particles Testing Is Performed By Wet Continuous Method, The Flow Of Suspension Particles From Hose Shall Be Shut Off:",Immediately before applying the current.,Immediately after applying the current.,When current is flowing in part.,20 seconds before applying the current.,C,MPT (General)
71,"If The Maximum Sensitivity In The Inspection Of Rough Welds Is Desired, Then:",Clean the weld from scale & slag with power brush.,Standard test weld for comparison shall be used.,Grind smoothly the weld ripples to avoid false indications.,Paint the weld with lacquer.,C,MPT (General)
72,"To Locate Defects With Magnetic Particles Testing, Part Shall Be Magnetized In Such A Way That The Long Axis Of Possible Defects:",Are parallel to the lines of force.,Are oblique to the lines of force.,Are at right angle to the lines of force.,All of the above.,C,MPT (General)
73,"If Retentivity Of The Material Is Low, Satisfactory Method Of MPT Should Be:",Dry continuous.,Wet continuous.,Dry Residual.,Wet Residual.,A,MPT (General)
74,"The Simplest Method To Check, If A Component Is Magnetizable:",By checking the part by field Intensity meter.,Observing if a similar piece of material is attracted to it.,By applying magnetic particles on it.,By using a magnet on the part.,D,MPT (General)
75,"Magnetic Particles Testing Can Only Be Performed On The Materials, For Detection Of Open To Surface Or Subsurface Flaws, Which Have High Permeability.",TRUE,FALSE,,,A,MPT (General)
76,Minimum Acceptable Intensity Of Black Light For Fluorescent Magnetic Particles Testing Is:,1800 µW / Cm2.,1900 µW / Cm2.,1000 µW / Cm2.,1200 µW / Cm2.,C,MPT (General)
77,"The Formula, NI = 45000/(L/D), Is Used To Calculate The Proper Magnetising Current For:",Prod magnetization,A head shot,A central conductor,Coil magnetisation,D,MPT (General)
78,"While Inspecting A Casting, The Most Logical Area To Be Checked For Discontinuities Is:",On top surface of the casting.,On bottom surface of the casting.  ,At internal structures.  ,Junctions between low and heavy sections of casting.,D,MPT (General)
79,Which One Of These Is A Critical Casting Defect:,Bursts.,Lamination.,Hot tear.,Lack of Side wall fusion.,C,MPT (General)
80,"A Subsurface Indications Was Observed In Cover Pass Of A Weld. The Indication Was Originating From A Point And Has Branches, What Was It?",Grinding Crack.,Hot tear.,Creator Crack.,Transverse crack.,C,MPT (General)
